dominant_topic_id,dimension,group_value,percent,row_count,final_topic_label
0,oem_group,not_applicable,90.0,54,Public Transport Economics & Government Operating Models
1,oem_group,legacy,13.114754098360656,8,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,oem_group,new_age,3.278688524590164,2,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,oem_group,not_applicable,83.60655737704919,51,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
2,oem_group,legacy,4.651162790697675,2,"Battery Technology, Swapping & Lifecycle Economics"
2,oem_group,new_age,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
2,oem_group,not_applicable,95.34883720930232,41,"Battery Technology, Swapping & Lifecycle Economics"
3,oem_group,legacy,1.9230769230769231,1,"Public Infrastructure, Funding & Alternative Transit"
3,oem_group,new_age,15.384615384615383,8,"Public Infrastructure, Funding & Alternative Transit"
3,oem_group,not_applicable,82.6923076923077,43,"Public Infrastructure, Funding & Alternative Transit"
4,oem_group,legacy,4.838709677419355,3,"Domestic Manufacturing, R&D & China Dependence"
4,oem_group,new_age,12.903225806451612,8,"Domestic Manufacturing, R&D & China Dependence"
4,oem_group,not_applicable,82.25806451612904,51,"Domestic Manufacturing, R&D & China Dependence"
5,oem_group,legacy,6.382978723404255,3,"Tender Economics, Public Funding & Private Operators"
5,oem_group,new_age,4.25531914893617,2,"Tender Economics, Public Funding & Private Operators"
5,oem_group,not_applicable,89.36170212765957,42,"Tender Economics, Public Funding & Private Operators"
6,oem_group,legacy,0.0,0,"New-Age OEM Execution, Reliability & Service Risk"
6,oem_group,new_age,9.523809523809524,4,"New-Age OEM Execution, Reliability & Service Risk"
6,oem_group,not_applicable,90.47619047619048,38,"New-Age OEM Execution, Reliability & Service Risk"
7,oem_group,legacy,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,oem_group,new_age,2.272727272727273,1,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,oem_group,not_applicable,97.72727272727272,43,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
0,entity_name_canonical,EKA Mobility,0.0,0,Public Transport Economics & Government Operating Models
0,entity_name_canonical,General/Industry,83.33333333333334,50,Public Transport Economics & Government Operating Models
0,entity_name_canonical,JBM Auto,3.333333333333333,2,Public Transport Economics & Government Operating Models
0,entity_name_canonical,NueGo,6.666666666666667,4,Public Transport Economics & Government Operating Models
0,entity_name_canonical,Olectra Greentech,1.6666666666666667,1,Public Transport Economics & Government Operating Models
0,entity_name_canonical,PMI Electro,0.0,0,Public Transport Economics & Government Operating Models
0,entity_name_canonical,Switch Mobility,1.6666666666666667,1,Public Transport Economics & Government Operating Models
0,entity_name_canonical,Tata Motors,3.333333333333333,2,Public Transport Economics & Government Operating Models
1,entity_name_canonical,EKA Mobility,0.0,0,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,General/Industry,72.1311475409836,44,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,JBM Auto,6.557377049180328,4,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,NueGo,11.475409836065571,7,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,Olectra Greentech,1.639344262295082,1,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,PMI Electro,0.0,0,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,Switch Mobility,1.639344262295082,1,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,entity_name_canonical,Tata Motors,6.557377049180328,4,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
2,entity_name_canonical,EKA Mobility,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,General/Industry,88.37209302325581,38,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,JBM Auto,2.3255813953488373,1,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,NueGo,6.976744186046512,3,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,Olectra Greentech,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,PMI Electro,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,Switch Mobility,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
2,entity_name_canonical,Tata Motors,2.3255813953488373,1,"Battery Technology, Swapping & Lifecycle Economics"
3,entity_name_canonical,EKA Mobility,1.9230769230769231,1,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,General/Industry,69.23076923076923,36,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,JBM Auto,0.0,0,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,NueGo,13.461538461538462,7,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,Olectra Greentech,3.8461538461538463,2,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,PMI Electro,5.769230769230769,3,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,Switch Mobility,3.8461538461538463,2,"Public Infrastructure, Funding & Alternative Transit"
3,entity_name_canonical,Tata Motors,1.9230769230769231,1,"Public Infrastructure, Funding & Alternative Transit"
4,entity_name_canonical,EKA Mobility,6.451612903225806,4,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,General/Industry,66.12903225806451,41,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,JBM Auto,1.6129032258064515,1,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,NueGo,16.129032258064516,10,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,Olectra Greentech,0.0,0,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,PMI Electro,4.838709677419355,3,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,Switch Mobility,1.6129032258064515,1,"Domestic Manufacturing, R&D & China Dependence"
4,entity_name_canonical,Tata Motors,3.225806451612903,2,"Domestic Manufacturing, R&D & China Dependence"
5,entity_name_canonical,EKA Mobility,0.0,0,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,General/Industry,85.1063829787234,40,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,JBM Auto,6.382978723404255,3,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,NueGo,4.25531914893617,2,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,Olectra Greentech,4.25531914893617,2,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,PMI Electro,0.0,0,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,Switch Mobility,0.0,0,"Tender Economics, Public Funding & Private Operators"
5,entity_name_canonical,Tata Motors,0.0,0,"Tender Economics, Public Funding & Private Operators"
6,entity_name_canonical,EKA Mobility,2.380952380952381,1,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,General/Industry,80.95238095238095,34,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,JBM Auto,0.0,0,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,NueGo,9.523809523809524,4,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,Olectra Greentech,2.380952380952381,1,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,PMI Electro,0.0,0,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,Switch Mobility,4.761904761904762,2,"New-Age OEM Execution, Reliability & Service Risk"
6,entity_name_canonical,Tata Motors,0.0,0,"New-Age OEM Execution, Reliability & Service Risk"
7,entity_name_canonical,EKA Mobility,2.272727272727273,1,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,General/Industry,95.45454545454544,42,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,JBM Auto,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,NueGo,2.272727272727273,1,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,Olectra Greentech,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,PMI Electro,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,Switch Mobility,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,entity_name_canonical,Tata Motors,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
